CHROMOSOME	START_POS	END_POS	STRAND	GENE	OVERLAP
chr1	11873	14409	+	DDX11L1	Y
chr1	14361	29370	-	WASH7P	Y
chr1	17368	17436	-	MIR6859-1	Y
chr1	17368	17436	-	MIR6859-2	Y
chr1	17368	17436	-	MIR6859-3	Y
chr1	17368	17436	-	MIR6859-4	Y
chr1	30365	30503	+	MIR1302-10	Y
chr1	30365	30503	+	MIR1302-11	Y
chr1	30365	30503	+	MIR1302-2	Y
chr1	30365	30503	+	MIR1302-9	Y
chr1	34610	36081	-	FAM138A	Y
chr1	34610	36081	-	FAM138C	Y
chr1	34610	36081	-	FAM138F	Y
chr1	69090	70008	+	OR4F5	Y
chr1	134772	140566	-	LOC729737	Y
chr1	182387	184878	+	DDX11L17	Y
chr1	205128	206597	-	FAM138D	Y
chr1	450739	451678	-	OR4F16	Y
chr1	450739	451678	-	OR4F29	Y
chr1	450739	451678	-	OR4F3	Y
chr1	490755	495445	-	LOC100132062	Y
chr1	490755	495445	-	LOC100132287	Y
chr1	627379	629009	-	LOC101928626	Y
chr1	632614	632685	-	MIR12136	Y
chr1	725758	778634	-	LOC100288069	Y
chr1	817370	819834	+	FAM87B	Y
chr1	826205	827522	-	LINC00115	Y
chr1	827590	859446	+	LINC01128	Y
chr1	868070	876802	-	FAM41C	Y
chr1	916817	919692	-	LINC02593	Y
chr1	920242	925604	-	LOC107985728	Y
chr1	923922	944574	+	SAMD11	Y
chr1	944202	959256	-	NOC2L	Y
chr1	960583	965719	+	KLHL17	Y
chr1	966481	975865	+	PLEKHN1	Y
chr1	975197	982093	-	PERM1	Y
chr1	998963	1000097	-	HES4	Y
chr1	1013496	1014539	+	ISG15	Y
chr1	1020119	1056114	+	AGRN	Y
chr1	1059733	1066453	+	LOC100288175	Y
chr1	1065634	1069337	-	LOC105378948	Y
chr1	1070966	1074306	-	RNF223	Y
chr1	1081822	1116089	-	C1orf159	Y
chr1	1137016	1144054	+	LINC01342	Y
chr1	1167103	1167198	+	MIR200B	Y
chr1	1167862	1167952	+	MIR200A	Y
chr1	1169004	1169087	+	MIR429	Y
chr1	1173879	1197935	+	TTLL10	Y
chr1	1203507	1206592	-	TNFRSF18	Y
chr1	1211339	1214153	-	TNFRSF4	Y
chr1	1216930	1232001	-	SDF4	Y
chr1	1232236	1235040	+	B3GALT6	Y
chr1	1242452	1246722	-	C1QTNF12	Y
chr1	1253911	1273854	-	UBE2J2	Y
chr1	1280435	1292029	+	SCNN1D	Y
chr1	1292390	1307930	-	ACAP3	Y
chr1	1296109	1296170	-	MIR6726	Y
chr1	1304728	1304812	-	SNORD167	Y
chr1	1308579	1311677	+	PUSL1	Y
chr1	1311584	1324687	-	INTS11	Y
chr1	1312501	1312566	-	MIR6727	Y
chr1	1324801	1328896	+	CPTP	Y
chr1	1331279	1335314	+	TAS1R3	Y
chr1	1335277	1349418	-	DVL1	Y
chr1	1339649	1339708	-	MIR6808	Y
chr1	1352688	1363541	-	MXRA8	Y
chr1	1373735	1375207	-	AURKAIP1	Y
chr1	1385710	1399335	-	CCNL2	Y
chr1	1399529	1402046	+	MRPL20-AS1	Y
chr1	1401908	1407293	-	MRPL20	Y
chr1	1418419	1421444	-	ANKRD65	Y
chr1	1426127	1427787	+	TMEM88B	Y
chr1	1430156	1434573	-	LINC01770	Y
chr1	1435689	1442882	+	VWA1	Y
chr1	1449688	1470162	+	ATAD3C	Y
chr1	1471764	1497848	+	ATAD3B	Y
chr1	1512161	1534685	+	ATAD3A	Y
chr1	1534777	1540624	-	TMEM240	Y
chr1	1541672	1574863	-	SSU72	Y
chr1	1598011	1600135	-	FNDC10	Y
chr1	1599432	1607210	+	LOC105378586	Y
chr1	1615414	1630610	+	MIB2	Y
chr1	1632172	1634654	+	MMP23B	Y
chr1	1632779	1634651	+	MMP23A	Y
chr1	1635224	1659004	-	CDK11B	Y
chr1	1661477	1692795	-	SLC35E2B	Y
chr1	1702378	1724357	-	CDK11A	Y
chr1	1724837	1745999	-	SLC35E2A	Y
chr1	1751231	1780031	-	NADK	Y
chr1	1785284	1891117	-	GNB1	Y
chr1	1891179	1892726	+	LOC105378949	Y
chr1	1915259	1917296	+	CALML6	Y
